Skill Value,Rank,Damage Base,Damage Roll
1,Pathetic,1,1d6+1
2,Untrained,2,1d6+3
3,Novice,3,1d6+5
4,Adept,4,1d8+6
5,Expert,5,1d8+8
6,Master,6,2d6+8
8,Virtuoso,7,2d6+10
Exp,Level,8,2d8+10
0,1,9,2d10+10
10,2,10,3d8+10
20,3,11,3d10+10
30,4,12,3d12+10
40,5,13,4d10+10
50,6,14,4d10+15
60,7,15,4d10+20
70,8,16,5d10+20
80,9,17,5d12+25
90,10,18,6d12+25
110,11,19,6d12+30
135,12,20,6d12+35
160,13,21,6d12+40
190,14,22,6d12+45
220,15,23,6d12+50
250,16,24,6d12+55
285,17,25,6d12+60
320,18,26,7d12+65
360,19,27,8d12+70
400,20,28,8d12+80
460,21,40 damage,40
530,22,15 damage,15
600,23,"X, See Effect",See Effect
670,24,See Effect,See Effect
745,25,--,--
820,26,,
900,27,,
990,28,,
1075,29,,
1165,30,,
1260,31,,
1355,32,,
1455,33,,
1555,34,,
1660,35,,
1770,36,,
1880,37,,
1995,38,,
2110,39,,
2230,40,,
2355,41,,
2480,42,,
2610,43,,
2740,44,,
2875,45,,
3015,46,,
3155,47,,
3300,48,,
3445,49,,
3645,50,,
3850,51,,
4060,52,,
4270,53,,
4485,54,,
4705,55,,
4930,56,,
5160,57,,
5390,58,,
5625,59,,
5865,60,,
6110,61,,
6360,62,,
6610,63,,
6865,64,,
7125,65,,
7390,66,,
7660,67,,
7925,68,,
8205,69,,
8485,70,,
8770,71,,
9060,72,,
9350,73,,
9645,74,,
9945,75,,
10250,76,,
10560,77,,
10870,78,,
11185,79,,
11505,80,,
11910,81,,
12320,82,,
12735,83,,
13155,84,,
13580,85,,
14010,86,,
14445,87,,
14885,88,,
15330,89,,
15780,90,,
16235,91,,
16695,92,,
17160,93,,
17630,94,,
18105,95,,
18585,96,,
19070,97,,
19560,98,,
20055,99,,
20555,100,,